Gene	P-value
NOL10	0.06775783373214614
RP11-542H15.1	0.0645343384782447
SMC6	0.07737806602939142
TTC32	0.04538971879014959
WDR35	0.013628262096348152
PUM2	0.06973309634071134
PTRHD1	0.03094867103532005
ASXL2	0.040337112429715036
OST4	0.019986640759637714
SLC5A6	0.07077767803936755
ATRAID	0.01854779750652609
MPV17	0.014296690595218004
EIF2B4	0.016095540002505133
ZNF513	0.024828052059435703
PPM1G	0.004599221234611047
GALNT14	0.08691864749603376
AC009305.1	0.06829642833281561
RP11-288C18.1	0.04270010297974225
STRN	0.07753891974636287
AC010878.3	0.04075856138086947
LINC00211	0.06775783373214614
RP11-314C9.2	0.06678524442577087
ATL2	0.06042678925214979
RP11-173C1.1	0.07653018279283151
SLC8A1	0.06019847834579687
LINC01126	0.03049069069441757
PPM1B	0.09553902466983676
SLC3A1	0.029777965419829976
SRBD1	0.0002610137173369307
MCFD2	0.08661261568818678
AC073283.4	0.03773559623102713
EPCAM	0.008249252257274992
RP11-443F4.1	0.054140723394150624
EIF3FP3	0.008828052729945551
COMMD1	0.06845125992624501
AC009501.4	0.0728848252079309
AC012368.1	0.04744758522350361
AC074289.1	0.06396528498419335
RP11-547M24.1	0.08011033645471136
AC008074.3	0.009844518210605648
AC008074.5	0.013962640055989677
LGALSL	0.0017167795240769477
MEIS1	0.033929769427066596
RP11-474G23.3	0.08567018420734686
LINC01888	0.07030484140436238
TGFA	0.010105553631596332
ZNF638	0.020980400359699208
FBXO41	0.0893456953305086
RP11-711M9.2	0.04065492730284163
DCTN1	0.08853012399140069
INO80B	0.00041574740701714596
WBP1	0.059858482078599194
MOGS	0.007740991416516284
AUP1	0.024527532062580612
HTRA2	0.06588582389214247
AC022210.2	0.06725435463021714
RN7SL113P	0.07853883859097988
RN7SL251P	0.054353055642691536
CHMP3	0.037639027036349686
RNF103	0.060775457801506526
AC068279.3	0.08473881938386464
GPAT2	0.05635486354017736
STARD7-AS1	0.0907681679180045
CIAO1	0.0021578076239125053
ZAP70	0.07636643863576575
CHST10	0.04779617184844009
PDCL3	0.07478259108901966
RNF149	0.047455888284850326
CREG2	0.08978945197431248
IL1R1	0.012211361388326965
IL18R1	0.0062339965399660436
SDR42E1P5	0.016420928732490934
IL18RAP	0.003962376942029689
AC007278.2	0.09569871584859899
AC007278.3	0.0702455957236643
NCK2	0.08304308903254407
LIMS1	0.0506753210167551
LINC00116	0.022089240269488553
RP11-181E10.3	0.07373765552331842
ZC3H6	0.031941378709839714
NT5DC4	0.0015219084754213815
PAX8-AS1	0.004682045625493
PAX8	0.024941524969535486
AC009404.2	0.014663751895212134
EPB41L5	0.003121135805452283
MTATP6P26	0.09640186400865253
RALB	0.028971579564378763
NIFK-AS1	0.054122072294532544
SMPD4	0.0732814615267275
MZT2B	0.02973788698055376
IMP4	0.059606034290141115
PTPN18	0.0751445469248412
AC093838.4	0.08385629105650269
RP11-1193F23.1	0.040337112429715036
RP11-231E19.1	0.022547313196748357
AC013444.1	0.09531771541227063
CTD-2252P21.1	0.05805194398085922
AC016910.1	0.014225088404740899
GTDC1	0.024941524969535486
EPC2	0.023696737423695307
NMI	0.0696036439971667
TNFAIP6	0.038856687758368876
ARL6IP6	0.030180770077060885
NR4A2	0.017308883808472765
MARCH7	0.039449342176557635
RBMS1	0.08701467622706867
TANK	0.021016841248561468
KCNH7	0.04406707637570108
FIGN	0.0011565076748480533
GALNT3	0.00017339208775377804
AC009495.2	0.0038247196520359568
ABCB11	0.046029796422002986
AC007969.5	0.023354835891861887
MAP3K20	0.00018638387525665083
SP3	0.060425192805733295
LINC01305	1.051684092506557e-06
CIR1	0.047502418784829456
SCRN3	0.030925153347943463
GPR155	0.017498354141290955
AC016739.2	0.08398140734719449
NFE2L2	0.06775783373214614
RP11-65L3.2	0.04270010297974225
SESTD1	0.07842234584584792
UBE2E3	0.09373493801380532
SSFA2	0.025519586743231706
CALCRL	0.08600457073792452
ASNSD1	0.011977631724087284
NABP1	0.017684041453858865
SDPR	0.045405316893464054
LINC01821	0.09295755079060657
STK17B	0.03501544698653759
HECW2	0.01859639964427919
COQ10B	0.09719978248031585
KCTD18	0.05124816741578545
ORC2	0.011580682287342572
FAM126B	0.009206977421128061
CFLAR	0.013949527080289839
RAPH1	0.06266397563350427
GPR1	0.015239710816021755
ADAM23	0.021286906914187945
AC007879.2	0.09204195947211843
AC007879.3	0.08352930514479406
AC007879.5	0.06366744462346903
CREB1	0.005271767451088489
KANSL1L	0.0071303497221020294
RP11-566E18.1	0.09493241092843181
LINC01963	0.05848973730429215
RPL37A	0.03111837285621205
CXCR2	0.019513083399293973
AAMP	0.0007493978669005577
CNOT9	0.009565456860846446
WNT10A	0.011021380771502285
NHEJ1	0.00953935409003952
DNPEP	0.02128407487276956
STK11IP	0.008221419434593867
SLC4A3	0.06773357676631303
PAX3	0.05754323655766746
CCDC140	0.08665846893736175
ACSL3	0.04136180048670564
MFF	0.03341322695901011
TM4SF20	0.014225088404740899
AGFG1	0.050289566026690026
PID1	0.029777965419829976
AC009950.2	0.004869320042925848
RP11-98F19.1	0.060025510279167915
SP110	0.029640536288708653
SP100	0.0051147746845789975
LINC01907	0.006192284489108195
CAB39	0.07853883859097988
B3GNT7	0.05037918372144184
RP11-690I21.2	0.08887341871270114
DIS3L2	0.05736028001463739
AC068134.10	0.08567565014019346
DGKD	0.0679419769874201
ARL4C	0.023507160276117302
AC096574.5	0.09109157721823867
ILKAP	0.05896404023117597
HDAC4	0.0054984446628865615
NDUFA10	0.0015219084754213815
CAPN10	0.006145292624640863
GPR35	0.011249424780739502
CROCC2	0.07247904411478541
AC104809.4	0.040685546910995865
SNED1	0.013962640055989677
HDLBP	0.023244662798404207
STK25	0.0016000841703369662
THAP4	0.007029529476782366
ATG4B	0.015685847534084592
IL5RA	0.038245495877639195
LRRN1	0.0012642692881927049
BHLHE40-AS1	0.08665846893736175
BHLHE40	0.08710900292446351
BRPF1	0.07521564891773806
CAMK1	0.05998447473932024
IL17RE	0.042870050521999166
RP11-169K17.4	0.07561722592623625
MKRN2	0.045397053276524685
RPL32	0.08840561550376062
WNT7A	0.06174203334965384
TMEM43	0.023619453388044206
AC093495.4	0.00953935409003952
XPC	0.028397730083606482
SLC6A6	0.08837241827332583
SH3BP5-AS1	0.08342397756558499
BTD	0.03341322695901011
ANKRD28	0.00027060186425737577
RAB5A	0.053684797491187146
THRB	0.028276744661990788
THRB-AS1	0.019486032447683283
CMTM6	0.04538971879014959
CCR4	0.05586879907763253
CRTAP	0.042675518517632995
RP11-640L9.2	0.09446159552536422
LRRFIP2	0.06786595340304918
GOLGA4	0.08813300285629715
RP11-815I22.1	0.0634600526186549
RPSA	0.08675974425934053
EIF1B-AS1	0.03184385343944739
RP11-188P20.3	0.07851022142403213
TCAIM	0.014602013715997232
ZNF445	0.060220873418446244
ZKSCAN7	0.0019730973834595376
ZNF660	0.040685546910995865
ZNF197	0.03255236108514938
ZNF502	0.017110828482798195
FLT1P1	0.04006122731763494
LINC02009	0.048270900439093795
CCDC12	0.03371215423795281
RP11-447D11.3	0.046029796422002986
PTPN23	0.03960031047686777
DHX30	0.023362053759475983
SPINK8	0.007029529476782366
CELSR3	0.01562239289366339
P4HTM	0.07601664989123745
WDR6	0.08077482645065201
NDUFAF3	0.0023074277727982337
QRICH1	0.01762942108430949
QARS	0.005308383733444613
C3orf62	0.08065958531921925
UBA7	0.032882224592948824
RBM5	0.056950910122386206
SEMA3B	0.03351632962641868
NAT6	0.046029796422002986
RASSF1	0.05841885803395493
LINC02019	0.034395549552970216
PARP3	0.017684041453858865
ABHD14B	0.023736367229023624
RPS15P5	0.05888186131355267
ERC2-IT1	0.09792175290445673
SLMAP	0.004356773942085399
FLNB-AS1	0.09921511661291392
PXK	0.004935156767092337
PSMD6-AS2	0.08220614419888435
SLC25A26	0.07787056336027628
UBA3	0.09634707802799004
EIF4E3	0.031185447276441267
PROK2	0.021678831451477035
RN7SL271P	0.0231125376882099
PPP4R2	0.03202222469731882
ST3GAL6	0.08899911619249135
PDLIM1P4	0.011021380771502285
DCBLD2	0.04326336767182602
FILIP1L	0.07537224988527336
TMEM45A	0.0009119492447756093
NFKBIZ	0.040685546910995865
BTLA	0.027039629635328
ATP6V1A	0.033257048867850546
RP11-274J15.2	0.048270900439093795
RP11-18H7.1	0.042318188009393916
SLC15A2	0.04554930670800357
CD86	0.049083083957642444
PARP9	0.006720759530913069
DTX3L	0.057818807007363734
LINC02035	0.022071842189829684
ZNF148	0.04196420216788913
OSBPL11	0.06773357676631303
SLC41A3	0.01905085342387967
ZXDC	0.07814054323851995
EEFSEC	0.06794605275801487
GATA2	0.00537612577520409
KIAA1257	0.06996445283329578
RP11-723O4.6	0.023288252134670916
CNBP	0.04874050281047235
TMCC1-AS1	0.0038247196520359568
TOPBP1	0.04493282113293976
PCCB	0.05238901192518943
STAG1	0.015155162848047788
RP11-731C17.2	0.015278323486280434
NCK1	0.03857738687881111
ARMC8	0.020149530494358803
PIK3CB	0.06132028752177688
RP11-319G6.1	0.015001865663542589
RASA2	0.0231125376882099
XRN1	0.08887341871270114
U2SURP	0.05048423185768375
PLSCR2	0.014225088404740899
RP11-329N15.3	0.09016285819276987
PLSCR1	0.031500017613654195
HNRNPA1P24	0.05927868586459808
RP11-167H9.4	0.053908303365821926
P2RY13	0.059606034290141115
P2RY12	0.032637142015918934
MBNL1-AS1	0.05877007580264477
PLCH1	0.014082041198619505
C3orf33	0.08000640098298299
RP11-550I24.2	0.08998630036975369
SHOX2	0.08661261568818678
RP11-538P18.1	0.04381869550368113
LXN	0.06816968169193623
SCARNA7	0.02805654713253889
RP11-362K14.6	0.0897250135796652
SAMD7	0.09031212368801238
TNFSF10	0.09635686952661271
SLC31A1P1	0.093905558928516
RNU4-4P	0.015531355412368183
PIK3CA	0.05009394360333613
CCDC39	0.05372452117751767
RP11-225N10.1	0.02732368729510079
RP11-531F16.4	0.05117063405332178
MCF2L2	0.046862271903849874
KLHL6	0.04270010297974225
ABCC5	0.0015783365768045371
DVL3	0.06289083106493458
AP2M1	0.05099496630695249
ABCF3	0.021286906914187945
VPS8	0.003852528835792564
SENP2	0.011170131956068289
NMRAL2P	0.0215385287094257
BCL6	0.020395244535333337
RP11-211G3.2	0.0048158418368691855
RP11-430L16.1	0.054571122937061754
TPRG1-AS2	0.05744441687491821
HRASLS	0.05746459255494821
ATP13A4-AS1	0.09295112993188805
ACAP2	0.08263446931135786
FBXO45	0.09919066884798318
CEP19	0.04707649200620499
RUBCN	0.025127990902963897
ZNF595	0.010105553631596332
PDE6B	0.08387932614698454
PCGF3	0.054425587581723965
RP11-1191J2.4	0.03404522380074081
RP11-440L14.4	0.09888487508499764
IDUA	0.04615843888016418
FGFRL1	0.013332176354193462
RNF212	0.047312470290700355
SPON2	0.044760288574537115
NELFA	0.04253904774587324
MXD4	4.985068165644841e-05
MFSD10	0.05385789050121499
NOP14-AS1	0.06490895019957714
HTT	0.019986640759637714
STX18	0.0379375980925618
CYTL1	0.021678831451477035
STK32B	0.09428479943915992
EVC2	0.000989246916601867
EVC	0.006192284489108195
CRMP1	0.05324023136935245
KIAA0232	0.0687432817002639
TBC1D14	0.039381205114064864
RP11-367J11.2	0.06652508232016952
SH3TC1	0.051077665988070134
RP11-448G15.3	0.042415242816898374
BOD1L1	0.012244045770725465
FBXL5	0.09719978248031585
RP11-442P12.2	0.015239710816021755
FGFBP2	0.08969592360925936
RP11-177C12.5	0.09439268148332539
RP11-177C12.1	0.07764208188099278
TLR10	0.0023074277727982337
TLR1	0.060197041117252756
TLR6	0.008503678686520537
SMIM14	0.09434464964278169
RBM47	0.03154505760857416
NSUN7	0.024071941459449662
APBB2	0.053102912422186885
DCAF4L1	0.0529368772107736
RP11-317G22.2	0.08168394363523801
RPL21P44	0.041507837858529475
RP11-571I18.4	0.008106475909607683
CHIC2	0.09718806524842491
EXOC1	0.04001931444128791
CEP135	0.05915433317146484
RP11-704M14.1	0.07520736598606678
SULT1B1	0.08308951791407218
THAP6	0.044702768586872124
NAAA	0.02578662436503695
CCNG2	0.0696036439971667
CTB-179I1.1	0.06804166687795274
LINC01094	0.00802883842220572
ANTXR2	0.05589971817312645
HNRNPD	0.09934018125688378
WDFY3	0.004172026768003777
WDFY3-AS2	0.020493535141334288
ARHGAP24	0.07426212488012883
AFF1	0.09570325526473586
HERC3	0.06776409916753708
FAM13A-AS1	0.08069199933044753
FAM13A	0.01181021772819666
RP11-115D19.2	0.08998630036975369
DAPP1	0.024888912277708678
MANBA	0.017234009716357458
LRRC37A15P	0.0743350253061758
KRT8P46	0.010105553631596332
RP11-556I14.1	0.08380884392531518
AC004069.2	0.006136272621052535
TET2	0.032000858263163554
EGF	0.08124279060156189
C4orf32	0.009688764621470964
ALPK1	0.0003214252999175843
RTEL1P1	0.051077665988070134
RP11-402J6.3	0.039566834226155916
NDST3	0.08387253438657132
C4orf3	0.05715465761920433
RP11-548H18.2	0.015138190383227522
GTF2IP12	0.016897740719118332
RP11-33B1.1	0.017684041453858865
PDE5A	0.05915433317146484
PRDM5	0.0071603480549085686
LINC01091	0.04543789114107482
JADE1	0.02500138878169153
SLC7A11	0.0014765786058509537
ELF2	0.005222509372503426
RP11-83A24.2	0.02347833765640596
RAB33B	0.010217789252786554
GAB1	0.06110848561120917
DCLK2	0.049083083957642444
AK4P6	0.015117446139242784
RP11-164P12.5	0.0210339477981313
KIAA0922	0.04148169794388616
WDR45P1	0.07514722405333897
TLR2	0.018133232874360857
RNF175	0.05299844578726596
RP11-153M7.5	0.013962640055989677
PPID	0.07426212488012883
KLHL2	0.010180750394743369
GK3P	0.09424244664190007
DDX60	0.09592855066489789
DDX60L	0.012579019093358576
MFAP3L	0.07901424052151909
GALNT7	0.024071941459449662
RP11-489G11.3	0.09538258140134057
CEP44	0.054426157921235375
HPGD	0.00398310142007123
RP11-440I14.2	0.01621358823152027
RP11-440I14.3	0.0044785831353562205
DCTD	0.04862422364337841
IRF2	0.028276744661990788
RP11-326I11.4	0.050748798712559134
CASP3	0.08379589080218762
ACSL1	0.01662204317988339
MIR3945HG	0.02460304702103178
LINC01093	0.04772148118281588
SDHA	0.03286447760196187
BRD9	0.016796381339749287
SLC12A7	0.040975191027575214
NDUFS6	0.060197041117252756
LINC01513	0.08113710943904323
LINC02212	0.03049069069441757
RP11-54F2.9	0.03773559623102713
DAP	0.0438928052292157
OTULIN	0.07779141993913202
LINC02150	0.0738611459119223
RP11-432M8.15	0.07931375440200239
NIPBL	0.07962958649785291
FYB	0.024377435623852656
PRKAA1	0.07853883859097988
CTD-2035E11.5	0.08998630036975369
RP11-159F24.6	0.09553902466983676
RP11-53O19.3	0.07765698023006265
PARP8	0.03930245846422298
IL6ST	0.024612399447461915
MAP3K1	0.05381841655534567
RP11-266N13.2	0.07196532208663346
IPO11	0.02533366947435454
TRIM23	0.08726592926926097
MAST4	0.0679419769874201
GTF2H2C	0.014879859495602075
RP11-848G14.5	0.03981686798606832
RP11-1319K7.1	0.028097002475805027
NAIP	0.04270010297974225
GTF2H2	0.034216771633585046
TNPO1	0.009556561325666402
FCHO2	0.015239710816021755
BTF3	0.07224954677302016
ENC1	0.02310592229053338
GFM2	0.05009394360333613
COL4A3BP	0.08122809872328332
IQGAP2	0.036978985392184874
F2RL1	0.015685847534084592
ZFYVE16	0.014039237380375928
RP11-343L5.2	0.05052173873825643
CTD-2299E8.1	0.06378644155368923
TMEM161B-AS1	0.09745859518039976
LYSMD3	0.046176438909965506
RP11-549J18.1	0.013962640055989677
KIAA0825	0.013486066060899218
CTC-303L1.1	0.06640774952800821
SLF1	0.008855255199269552
MCTP1	0.0038278140413793324
AC008592.8	0.022451639396920558
RGMB	0.09441401262353695
CTD-2007H13.1	0.06695770929546413
FAM174A	0.013372528786649263
ST8SIA4	0.0021441094550992456
SLCO4C1	0.03773559623102713
NUDT12	0.046862271903849874
PJA2	0.054571122937061754
APC	0.04401807452895202
DCP2	0.06174203334965384
MCC	0.06885969644160508
CTC-428G20.2	0.05385789050121499
CTB-36H16.2	0.05635486354017736
CSNK1G3	0.07099209612915253
HMGB1P29	0.08913271457893492
ZNF608	0.00531284805550562
LMNB1	0.013486066060899218
SLC22A4	0.009973246417267646
AC034220.3	0.011637949815391214
AC116366.5	0.09440299036524025
IL13	0.074468547766116
CTB-3M24.1	0.08977210717044114
VDAC1	0.024888912277708678
UBE2B	0.062407568270999865
TIFAB	0.07808522931135409
TGFBI	0.008855255199269552
HNRNPA0	0.03975015772240519
KDM3B	0.051671135517063004
PFDN1	0.05009394360333613
SLC4A9	0.051709499640322475
APBB3	0.06114569829993095
HARS	0.039148349722611685
CH17-140K24.1	0.05196414677026086
RELL2	0.0048158418368691855
KIAA0141	0.011021380771502285
ARHGAP26	0.016929228474251302
FBXO38	0.08710900292446351
SH3TC2	0.0514281992779222
HMGXB3	0.072396262301207
CSF1R	0.059606034290141115
CD74	0.0036728980953349985
RPS14	0.06638111628640621
SLC36A1	0.09871478136132844
CTC-251D13.1	0.08977210717044114
HAVCR2	0.026098169357519255
CYFIP2	0.07538346524243893
UBLCP1	0.07522879508275765
FABP6	0.05052173873825643
CCNJL	0.0696036439971667
CPEB4	0.05133744521982851
RN7SKP148	0.029777965419829976
RP11-826N14.1	0.030925153347943463
HIGD2A	0.0035401953957128578
CDHR2	0.02855680686866188
TSPAN17	0.03915917165922859
MXD3	0.054571122937061754
RGS14	0.07451221554664751
PRR7-AS1	0.05594482068237919
DDX41	0.041038662669135494
TMED9	0.011635050038559636
B4GALT7	0.005308383733444613
RP11-1252I4.2	0.03579698348807138
CLK4	0.03773559623102713
RN7SKP70	0.09251739265867648
TBC1D9B	0.007645311880542568
BTNL8	0.0529368772107736
RPS29P12	0.02289095659086073
BTNL3	0.0498416454725265
RACK1	0.007475804271190977
TRIM52-AS1	0.049992963894977954
GMDS	0.06773357676631303
NQO2	0.08641335611309063
RIPK1	0.06845125992624501
RP11-506K6.4	0.03356592458977943
RP3-406P24.5	0.02204406430107068
LYRM4	0.0013668319100096924
FARS2	0.054843130553036384
RP1-80N2.3	0.010004175712452663
MAK	0.00404553266026872
RANBP9	0.08207653907728109
CD83	0.028889812786253258
